Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago
1102,PKG,Consumer Cyclical,Packaging & Containers,NYSE,107.14,80,81,74,68
1103,OSW,Consumer Cyclical,Leisure,NASDAQ,107.14,80,75,89,53
1104,CZWI,Financial Services,Banks—Regional,NASDAQ,107.13,80,78,73,48
1105,DFS,Financial Services,Credit Services,NYSE,107.12,80,76,86,87
1106,BLX,Financial Services,Banks—Regional,NYSE,107.12,80,78,87,90
1107,PFGC,Consumer Defensive,Food Distribution,NYSE,107.09,80,63,37,65
1108,CCOI,Communication Services,Telecom Services,NASDAQ,107.06,80,77,47,36
1109,CIX,Industrials,Security & Protection Services,NYSE MKT,107.04,80,84,31,94
1110,SKYH,Industrials,Aerospace & Defense,NYSE MKT,107.02,80,95,83,85
1111,LYV,Communication Services,Entertainment,NYSE,107.02,80,62,49,63
1112,STBA,Financial Services,Banks—Regional,NASDAQ,106.97,80,91,88,52
1113,FRHC,Financial Services,Capital Markets,NASDAQ,106.91,80,74,56,21
1114,SSB,Financial Services,Banks—Regional,NYSE,106.9,80,85,73,63
1115,OR,Basic Materials,Gold,NYSE,106.9,80,76,80,66
1116,AIO,Financial,Closed-End Fund - Equity,NYSE,106.9,80,71,77,74
1117,TOWN,Financial Services,Banks—Regional,NASDAQ,106.89,80,84,74,63
1118,DKS,Consumer Cyclical,Specialty Retail,NYSE,106.89,80,81,91,93
1119,MGNI,Communication Services,Advertising Agencies,NASDAQ,106.88,80,86,95,34
1120,NHI,Real Estate,REIT—Healthcare Facilities,NYSE,106.87,80,91,83,79
1121,BOKF,Financial Services,Banks—Regional,NASDAQ,106.86,80,79,79,70
1122,BRBR,Consumer Defensive,Packaged Foods,NYSE,106.82,80,67,55,86
1123,LLY,Healthcare,Drug Manufacturers—General,NYSE,106.81,80,86,89,91
1124,EHC,Healthcare,Medical Care Facilities,NYSE,106.79,80,80,74,82
1125,TSCO,Consumer Cyclical,Specialty Retail,NASDAQ,106.79,80,67,71,74
1126,SRZN,Healthcare,Biotechnology,NASDAQ,106.77,80,27,36,62
1127,ALLE,Industrials,Security & Protection Services,NYSE,106.77,80,79,49,71
1128,LYG,Financial Services,Banks—Regional,NYSE,106.77,80,81,85,76
1129,GBCI,Financial Services,Banks—Regional,NYSE,106.76,80,82,76,66
1130,THM,Basic Materials,Gold,NYSE MKT,106.75,80,62,21,87
1131,KEY,Financial Services,Banks—Regional,NYSE,106.74,80,77,75,81
1132,GBTG,Technology,Software—Application,NYSE,106.74,80,77,66,44
1133,PFSI,Financial Services,Mortgage Finance,NYSE,106.71,79,89,80,82
1134,CTRE,Real Estate,REIT—Healthcare Facilities,NYSE,106.7,79,88,74,73
1135,EFX,Industrials,Consulting Services,NYSE,106.67,79,86,78,57
1136,FOXA,Communication Services,Entertainment,NASDAQ,106.66,79,82,70,41
1137,RDVT,Technology,Software—Application,NASDAQ,106.65,79,91,86,28
1138,SCVL,Consumer Cyclical,Apparel Retail,NASDAQ,106.62,79,89,89,91
1139,SRL,Financial Services,Capital Markets,NYSE,106.62,79,82,72,37
1140,EQH,Financial Services,Insurance—Diversified,NYSE,106.6,79,70,84,84
1141,AVNT,Basic Materials,Specialty Chemicals,NYSE,106.58,79,73,71,78
1142,TRUE,Communication Services,Internet Content & Information,NASDAQ,106.55,79,63,90,75
1143,BWB,Financial Services,Banks—Regional,NASDAQ,106.54,79,83,73,61
1144,ADC,Real Estate,REIT—Retail,NYSE,106.54,79,86,70,36
1145,CG,Financial Services,Asset Management,NASDAQ,106.54,79,53,80,90
1146,PAY,Technology,Information Technology Services,NYSE,106.48,79,70,82,95
1147,DB,Financial Services,Banks—Regional,NYSE,106.46,79,74,82,90
