Rank,Industry,Sector,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
128,Steel,Basic Materials,80.62,11,25,24,23,"USAP,MSB,ACNT,STLD,ZKIN,MT,RS,CMC,HLP,WS,ASTL,X,SIM,INHD,FRD,GGB,MTUS,TX,NUE,ZEUS,HUDI,PKX,CLF,RDUS,SID"
129,Waste Management,Industrials,80.57,11,15,49,22,"AWX,ESGL,GFL,CWST,CLH,RSG,WCN,WM,AMBI,PESI,NVRI,MEG,QRHC,LNZA,GWAV,AQMS,CDTG,LICY"
130,Solar,Technology,79.97,10,0,0,0,"CSLR,TURB,NXT,JKS,FSLR,TOYO,ZEO,SOL,SPRU,FTCI,SMXT,VVPR,ARRY,CSIQ,SHLS,VSTE,RUN,TYGO,ENPH,BEEM,ASTI,NOVA,SEDG,MAXN"
131,REIT - Industrial,Real Estate,79.84,9,10,61,87,"MDV,PSA,FR,TRNO,EXR,STAG,EGP,PLD,NSA,CUBE,LXP,ILPT,REXR,COLD,PLYM,LINE,IIPR"
132,Copper,Basic Materials,79.77,9,16,82,72,"HBM,TGB,FCX,MTAL,ERO,IE"
133,Real Estate - Development,Real Estate,79.63,8,12,38,32,"AXR,MRNO,FPH,LPA,OZ,XIN,CCS,SDHC,FOR,VTMX,LRE,AEI,LSEA,SGD"
134,Auto Manufacturers,Consumer Cyclical,79.42,7,0,0,0,"SVMH,TSLA,XPEV,RIVN,PSNYW,GM,ZK,CYD,VFS,RACE,LCID,TM,CENN,VFSWW,LI,F,HMC,PSNY,NIU,NIO,ECDA,STLA,AYRO,EVTV,LOBO,LOT,NWTN,LVWR,FLYE,GGR,WKHS,FFIE,CJET,PEV,AIEV,ZAPP,VLCN,MULN,GOEV"
135,Consumer Electronics,Technology,79.37,6,11,4,86,"VUZI,KOSS,VOXX,TBCH,AAPL,SONY,UEIC,SONO,MSN,ZEPP,LPL,AXIL,GPRO,FOXX,WTO,FEBO,WLDS,RIME"
136,Confectioners,Consumer Defensive,78.89,6,20,13,2,"TR,MDLZ,HSY,RMCF"
137,Lumber & Wood Production,Basic Materials,78.09,5,8,13,5,"WFG,JCTC,UFPI,SSD,NWGL"
138,Biotechnology,Healthcare,78.01,4,9,34,66,"DBVT,CMRX,MESO,XCUR,PULM,ALGS,SRRK,SMMT,KOD,VRNA,QURE,CMMB,OMER,CRMD,CADL,TARA,NRXP,ATHE,TECX,ATYR,LENZ,CAPR,CSBR,ARQT,VRAX,AVXL,FBRX,SGMO,CVKD,RZLT,QNCX,ADMA,CRVS,PLX,ELDN,BNTC,ADPT,TVTX,OCS,AADI,CDTX,COEP,IFRX,DMAC,CORT,NTRBW,CMPX,SCPX,WVE,SPRC,INSM,TRVI,DRTS,CDXS,SNTI,TGTX,TENX,JANX,IKT,HOTH,NAMSW,TARS,CDMO,ENSC,SLGL,IBIO,CKPT,ARGX,EXEL,EWTX,MIRM,TIL,CRDF,PTCT,VOR,MDXG,RIGL,CDIO,CVAC,ENTX,IRON,XLO,CNTA,VCEL,XERS,NVAX,ACHL,RNXT,CPRX,ZYME,PRAX,SILO,MIST,SEER,SLXN,UTHR,NAMS,ZLAB,BRTX,ZVRA,BBIO,ICCC,LSTA,LGND,MNKD,NRIX,ELTX,AUPH,ITRM,HALO,SRZN,SPRY,ONC,DSGN,MOLN,VYNE,THTX,MNOV,RYTM,HRMY,CGEN,INCY,MDGL,OPT,EPRX,ESLA,BLTE,LIXT,ELVN,VIR,ALNY,UNCY,GRCE,VSTM,BPMC,ALLK,BNTX,NRSN,AVBP,AXSM,ALDX,CMND,XBIO,RNA,UBX,RPRX,BCRX,REPL,RVPH,DYAI,KALA,VERA,GLUE,PTGX,AMLX,OCUL,TECH,JAZZ,NUVB,TLSA,PCVX,XOMA,GOSS,VERU,MGTX,CHRS,MDWD,COCP,INVA,SLRX,HUMA,COGT,XOMAO,GHRS,CARA,XOMAP,KYMR,MNMD,ASMB,FBIO,ORIC,CUE,BIVI,GDTC,INKT,LQDA,DNLI,XTLB,IMMX,SLS,GANX,SWTX,MBRX,RVMD,LPTX,BYSI,ACLX,PHAR,ABUS,CYCN,GLSI,ACAD,XNCR,STOK,SLNO,ASND,GOVX,SABS,ORMP,MURA,IMRX,FGEN,ROIV,VTVT,GNPX,PGEN,KRON,RNAC,DARE,INMB,IKNA,VXRT,ATAI,TELO,VANI,AGIO,SRPT,AKRO,XENE,NUVL,IMNN,BEAM,VRTX,IMRN,VNDA,MAIA,IMMP,TBPH,SGMT,DNTH,LPCN,ALT,TVGN,ABCL,PLUR,VRDN,OBIO,AVIR,NRXS,TYRA,FBIOP,VERV,APRE,PRQR,MRUS,FENC,AURA,LTRN,NKTR,KPRX,NNVC,NKGN,MEIP,KRYS,GERN,ABEO,RCUS,INBX,MLTX,TRAW,FOLD,GNTA,CYCCP,ARTL,RARE,PROK,SCNI,ADIL,DAWN,PMCB,GLYC,INM,SYBX,NTRB,IGC,LEXX,CELU,PMVP,GMAB,CNTB,SNSE,RXRX,CGTX,CRBP,CLGN,PBYI,ACIU,GTBP,ARDX,MREO,MCRB,BHVN,CING,RGLS,ADXN,NVCT,PHVS,PRTC,OKYO,PLRX,TRML,AVTX,SNPX,TRDA,ANIX,APLS,ACRV,MGX,PYPD,ERAS,VTGN,CGON,GLPG,MLYS,APGE,CALC,KZR,TSHA,ARWR,IMVT,CLSD,PTN,IVA,KPTI,COYA,OCGN,PASG,DNA,BMRN,GNFT,ATXS,ENGN,FULC,CYTK,ARMP,CRNX,CRSP,IONS,CTNM,URGN,CYBN,GLMD,SCPH,CHRO,ONCY,MLEC,IPHA,VKTX,IMAB,IMUX,PSTV,AVTE,ANEB,ANNX,FTRE,IMNM,GRI,IBRX,ABVC,GNLX,RVNC,REGN,ARCT,SYRE,INTS,ITOS,IPA,VTYX,IRD,TERN,CELC,CLLS,PHIO,NERV,ADAG,GPCR,OABI,ATOS,INAB,IMCR,HRTX,TNXP,SVRA,ANTX,GYRE,NAUT,RLYB,ENLV,HLVX,ETNB,QNRX,ABSI,XFOR,ATRA,LGVN,SAGE,EQ,CLDX,FHTX,BOLT,ADAP,KALV,ACHV,DRMA,CGEM,VYGR,MRKR,LIPO,CANF,ALMS,IDYA,LEGN,PRTA,VALN,KRRO,IOVA,ANL,PHAT,NBY,SNDX,ELEV,BRNS,SPRO,PPBT,CTMX,PTIX,PMN,CNTX,OCEA,SANA,ALLO,CRGX,PRME,BCYC,BCDA,MRVI,IOBT,ATHA,CASI,AIM,ENVB,ARVN,BDTX,RLAY,SPRB,CCCC,ADCT,SKYE,LCTX,CRBU,BCLI,TNFA,RGNX,THAR,TNYA,BLUE,XBIT,MTVA,ONVO,ABOS,EYPT,CSCI,AKTX,VIGL,TTNP,ENTO,BOLD,ACET,TSVT,ARTV,NBTX,ABVX,DYN,NXTC,ANAB,RENB,AGEN,LIXTW,RAPP,ALVR,DOMH,CLDI,ZNTL,TSBX,APM,IMTX,TPST,ALXO,MGNX,ANVS,SER,LVTX,GALT,PCSA,VIRX,ATXI,CELZ,OVID,LSB,TOVX,LRMR,STRO,ATNF,ADVM,YMAB,PHGE,OGEN,NLSPW,RCKT,THRD,ZURA,INDP,XRTX,DTIL,HEPA,LXEO,KTTA,GUTS,HOWL,AUTL,PYXS,LYRA,HCWB,GLTO,CLYM,APLM,NGNE,BPTH,OLMA,PDSB,SNGX,BMEA,CRIS,MRNA,NKTX,SXTP,NTLA,SLDB,TCRT,IPSC,LXRX,TCRX,ATNM,APVO,KURA,NCNA,KZIA,STTK,EVGN,ALZN,ZVSA,RANI,GBIO,EDSA,OMGA,RAPT,CBUS,ENTA,CNSP,FBLG,KLTO,KYTX,JAGX,FDMT,HOOK,MBIO,CARM,PRLD,OKUR,LYEL,BTAI,PALI,APTO,ACXP,BCTX,RPTX,SLRN,TNGX,QLGN,CABA,OTLK,CDT,FATE,JSPR,IVVD,NLSP,ERNA,CVM,ALEC,BDRX,VRPX,ANRO,ALLR,DWTX,REVB,MRNS,INZY,EPIX,EDIT,SLN,CYCC,ICU,MRSN,INO,PEPG,AFMD,VINC,BCAB,AZTR,VRCA,CTXR,SONN,EVAX,BLRX,KROS,IGMS,NMRA,WINT,CRVO,SAVA,RNAZ,CERO,QTTB,APLT,ABP,PBM,RLMD,CLRB,EYEN,MTNB,ONCO,AEON,SYRS,TCBP,ELAB,ADTX"
139,Consulting Services,Industrials,75.44,4,4,9,13,"HURN,CRAI,GRNQ,VRSK,EFX,BAH,FCN,RGP,ICFI,FORR,ROMA,INTJ,SBC,AERT,VCIG"
140,Beverages - Brewers,Consumer Defensive,75.0,3,11,21,7,"CCU,TAP,SAM,ABEV,BUD,FMX,STZ"
141,Marine Shipping,Industrials,74.48,2,2,36,89,"MATX,ZIM,KEX,CCEC,BWLP,CMRE,DAC,NMM,KNOP,SFL,GASS,ESEA,PSHG,PANL,ICON,HAFN,GNK,TORO,ECO,GOGL,SHIP,ASC,USEA,SB,SBLK,DSX,HSHP,GLBS,CTRM,SMHI,OP,EDRY,CISS"
142,Beverages - Wineries & Distilleries,Consumer Defensive,72.52,2,3,4,6,"EAST,SNDL,WVVIP,DEO,VINE,SBEV,MGPI"
143,Coking Coal,Basic Materials,71.77,1,55,2,18,"SXC,METCB,HCC,AREC,METC,AMR"
144,Financial Conglomerates,Financial Services,69.94,0,1,11,90,"IX,TREE,VOYA,RILYP,RILYL,RILY"
145,Recreational Vehicles,Consumer Cyclical,68.62,0,2,2,2,"THO,MCFT,LCII,MPX,MBUU,DOOO,HOG,MAMO,BC,WGO,PII,VEEE,EZGO,VMAR"
