Rank,Industry,Sector,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
25,Banks - Diversified,Financial Services,106.23,83,79,84,92,"BCS,WFC,C,BK,JPM,HSBC,SMFG,BAC,CM,MUFG,BMO,RY,UBS,BBVA,NTB,SAN,BNS,ING,TD"
26,Other Industrial Metals & Mining,Basic Materials,106.05,82,61,45,6,"UAMY,NVA,TMQ,NAK,LITM,IPX,USAS,ABAT,WWR,SKE,TMCWW,TMC,MP,USGO,NMG,VZLA,SLI,GRFX,CMP,LZM,XPL,EMX,TECK,LGO,RIO,CRML,LAC,IONR,BHP,MTRN,FURY,WRN,NEXA,ELBM,GSM,SGML,VALE,LAAC,NB,PLL,ATLX,OMEX,FMST,GTI"
27,Thermal Coal,Energy,105.8,81,86,51,60,"HNRG,ARLP,NRP,NC,BTU"
28,Leisure,Consumer Cyclical,105.48,81,88,69,30,"DOGZ,PLBY,AS,PTON,AOUT,FNKO,LTH,PLNT,CUK,OSW,XPOF,GOLF,JAKK,FUN,ESCA,MAT,HAS,PRKS,YETI,MSGE,JOUT,CLAR,LUCK,MODG,MMA,GDHG,SRM,HWH,YYAI,SPGC"
29,Healthcare Plans,Healthcare,105.36,80,32,91,85,"CLOV,ALHC,NEUE,OSCR,UNH,CNC,HUM,MOH,CI,CVS,ELV"
30,Auto & Truck Dealerships,Consumer Cyclical,103.39,79,84,60,26,"CANG,CVNA,UXIN,CARG,GPI,SAH,LAD,KAR,RUSHA,RUSHB,ACVA,UCAR,SDA,AN,DRVN,KMX,ABG,PAG,CARS,CWH,MCW,KFS,VVV,CRMT,RMBL,JZXN,CTNT,GORV,KXIN"
31,Oil & Gas Integrated,Energy,102.9,79,49,27,50,"YPF,TGS,CRGY,SLNG,CGBS,NFG,CVX,SU,EQNR,IMO,SHEL,PBR,XOM,BP,E,TTE,EC,CVE,VIVK"
32,Metal Fabrication,Industrials,102.71,78,81,73,51,"CRS,CMPO,MTEN,MLI,NWPX,AP,GIFI,TG,PRLB,ESAB,ATI,HIHO,MEC,WOR,IIIN,RYI,TPCS,TRSG,SGBX"
33,Banks - Regional,Financial Services,102.33,77,89,78,93,"SUPV,BBAR,GGAL,BMA,CCB,LC,NBN,ESQ,VBFC,BYFC,OPOF,PWOD,HTLF,TCBX,UNTY,OPBK,CFFI,EBTC,FHN,NWG,USCB,MRBK,HNVR,BSVN,IROQ,SYBT,PDLB,FXNC,NRIM,EVBN,FSFG,LARK,DCOM,SNV,BLX,FUNC,HWBK,BANR,WTFC,PNFP,ONB,UBFO,CZWI,CFG,CASH,BSRR,UMBF,MFG,ZION,SASR,NECB,UVSP,COFS,EWBC,HAFC,BVFL,CFR,SBFG,CPBI,AMAL,FUSB,FINW,FISI,MTB,EFSC,FCNCA,SMBK,BKU,MCB,MGYR,FBMS,FCCO,FBK,TBBK,COLB,CBNK,CPF,TMP,CIVB,BANF,WAL,WBS,IFS,FULT,IBCP,CAC,QCRH,SHBI,SFBS,HBAN,BMRC,HWC,BRKL,RVSB,BRBS,HFWA,GBCI,DB,SFBC,CBU,OSBC,CBAN,AX,RF,RBCAA,PNC,MCBS,CMA,SRBK,BCML,NSTS,CADE,PLBC,EBC,MOFG,HOMB,SSBK,CTBI,TCBI,ORRF,BCOW,PB,ZIONP,FBNC,CBFV,CCBG,ASB,NIC,CATY,FRAF,KB,KEY,BY,CBSH,FFBC,MPB,NBTB,BOKF,FHB,PBHC,UCB,LSBK,FBIZ,TRMK,SPFI,PGC,AUBN,ABCB,PFS,CARE,HBNC,BOTJ,EQBK,TFC,BHLB,PRK,VLYPP,TFIN,THFF,FIBK,DCOMP,FSBC,VBTX,CNOBP,OFG,PCB,NBHC,HBCP,BANC,WTBA,PFIS,WNEB,BFC,FITB,HIFS,WASH,BOH,CVBF,SSB,TOWN,CZFS,FFIN,HTBI,RNST,SFNC,RBKB,FNB,BFIN,UNB,INDB,PFC,IBOC,PFBC,VLY,BAP,BHB,SMBC,ISTR,FRME,USB,WSFS,FSEA,BWFG,MNSBP,STEL,HFBL,FMAO,OCFC,GABC,CCNE,FULTP,CARV,BPOP,PEBK,OBK,PROV,PBFS,NBBK,VLYPO,TECTP,INBK,NWBI,CCNEP,RMBI,FSBW,LNKB,WSBC,GLBZ,BFST,FFIC,FCF,GNTY,LKFN,CHCO,KRNY,PBBK,UBSI,PVBC,PNFPP,VBNK,TCBK,GSBC,WTFCM,MBWM,LYG,TRST,NFBK,HBANM,IBN,HBT,MBINM,BHRB,PKBK,ESSA,WAFDP,FITBI,EGBN,WSBCP,FRMEP,FBP,OCFCP,FCBC,SFST,HBANL,TCBS,TFINP,AUB,UBCP,ECBK,MBNKP,TCBIO,WTFCP,CFBK,SRCE,FMBH,OPHC,SBCF,FNLC,HTLFP,VABK,BWBBP,STBA,FITBP,SBSI,BAFN,TSBK,MSBIP,EBMT,PEBO,LCNB,AVAL,FSUN,OZK,MSBI,MBINN,OBT,ONBPO,AROW,ONBPP,NEWT,BSBK,RRBI,FGBI,OVBC,HONE,FCNCP,WABC,FCNCO,CNOB,WF,HTBK,HOPE,CIB,BCH,BCAL,SHG,FCAP,CHMG,BCBP,ASRV,OVLY,FGBIP,TFSL,FNWD,WMPN,CZNC,RBB,CFFN,CFSB,FLIC,CFB,CLST,AMTB,JMSB,HDB,BSAC,WSBF,ACNB,WAFD,FMNB,EFSCP,FITBO,FRBA,BWB,HBANP,MYFW,OZKAP,CWBC,NWFL,PPBI,AFBI,CUBI,FNWB,BPRN,FRST,FFNW,BLFY,MBCN,NKSH,NU,BUSE,FVCB,SBT,TBNK,MVBF,LOB,CLBK,ATLO,MNSB,HTH,GCBC,ALRS,MBIN,ITUB,FDBC,KFFB,FFWM,BSBR,INTR,BBDO,PNBK,BBD,HMST,SSBI,FLG,SHFS"
34,Utilities - Regulated Electric,Utilities,101.59,77,74,83,48,"OKLO,EDN,CEPU,ETR,TXNM,VIASP,PEG,AEE,OGE,PPL,EVRG,IDA,CNP,WEC,MGEE,XEL,PNW,LNT,AEP,CMS,DTE,D,SO,ENIC,NWE,EXC,DUK,FTS,NEE,FE,ES,ED,KEP,POR,NGG,PCG,GNE,EIX,HE"
35,Rental & Leasing Services,Industrials,101.31,76,72,70,62,"WLFC,HEES,FTAI,FPAY,HRI,R,GATX,PRG,AER,MGRC,URI,CTOS,FTAIM,VSTS,UHAL,FTAIN,AL,FTAIO,GSL,WSC,HTZ,MWG,CAR,ALTG,ZCAR"
36,Publishing,Communication Services,100.93,75,87,87,91,"DALN,GCI,PSO,LEE,WLY,NYT,WLYB,EDUC,SCHL"
37,Footwear & Accessories,Consumer Cyclical,100.44,74,52,47,83,"WWW,FOSL,ONON,DECK,FORD,BIRK,WEYS,SKX,SHOO,NKE,DBI,CROX,RCKY,AREB,VRA"
38,Apparel Manufacturing,Consumer Cyclical,100.11,74,36,55,24,"JXG,VNCE,HBI,VFC,RL,LAKE,KTB,GIL,JRSH,COLM,UAA,FIGS,GIII,PLCE,SGC,UA,LEVI,OXM,GOOS,PVH,ZGN,PMNT,NCI,XELB"
39,Pollution & Treatment Controls,Industrials,99.92,73,70,86,55,"PCTTU,PCT,TOMZ,CLIR,ARQ,ATMU,CECO,ZWS,FSS,VLTO,FTEK,CLWT,ERII,LIQT,ZONE,CHNR,SCWO"
40,Utilities - Renewable,Utilities,99.68,72,70,27,1,"WAVE,ADN,GEV,CEG,BNRG,NRGV,ELLO,RNW,CWEN,VGAS,ENLT,BEPC,AMPS,BEP,FLNC,AQN,EBR,STEM,HTOO,NEP,CREG,RNWWW,SUUN,HTOOW,ALCE"
41,Insurance - Specialty,Financial Services,99.66,72,78,84,88,"TRUP,MBI,AXS,ITIC,ICCH,RYAN,AGO,EIG,AMSF,MTG,TIPT,FNF,NMIH,RDN,FAF,ACT,ESNT,AMBC,JRVR"
